from,to,value
United States,contaminated,100776291.0
United States,dead,1092956.0
United States,healthy,336103944.0
Brazil,contaminated,36331281.0
Brazil,dead,693853.0
Brazil,healthy,213925798.0
India,contaminated,44679873.0
India,dead,530705.0
India,healthy,1416111710.0
Russia,contaminated,21490515.0
Russia,dead,385789.0
Russia,healthy,143941734.0
Mexico,contaminated,7234467.0
Mexico,dead,331099.0
Mexico,healthy,126841922.0
Peru,contaminated,4458643.0
Peru,dead,218232.0
Peru,healthy,33613124.0
United Kingdom,contaminated,24135084.0
United Kingdom,dead,214878.0
United Kingdom,healthy,67079180.0
Italy,contaminated,25143705.0
Italy,dead,184642.0
Italy,healthy,58668188.0
France,contaminated,39334073.0
France,dead,162031.0
France,healthy,67488938.0
Germany,contaminated,37369866.0
Germany,dead,161465.0
Germany,healthy,83046910.0
Indonesia,contaminated,6719815.0
Indonesia,dead,160612.0
Indonesia,healthy,275180120.0
Iran,contaminated,7561140.0
Iran,dead,144685.0
Iran,healthy,88261198.0
Colombia,contaminated,6336660.0
Colombia,dead,141881.0
Colombia,healthy,51590266.0
Argentina,contaminated,9891139.0
Argentina,dead,130124.0
Argentina,healthy,45250076.0
Ukraine,contaminated,5662732.0
Ukraine,dead,118689.0
Ukraine,healthy,39464366.0
Poland,contaminated,6368479.0
Poland,dead,118533.0
Poland,healthy,39620078.0
Spain,contaminated,13684258.0
Spain,dead,117095.0
Spain,healthy,47324442.0
South Africa,contaminated,4049202.0
South Africa,dead,102568.0
South Africa,healthy,59688748.0
Turkey,contaminated,16919638.0
Turkey,dead,101203.0
Turkey,healthy,85138842.0
Romania,contaminated,3308480.0
Romania,dead,67374.0
Romania,healthy,19524522.0
Philippines,contaminated,4064443.0
Philippines,dead,65385.0
Philippines,healthy,115428238.0
Chile,contaminated,5037527.0
Chile,dead,63172.0
Chile,healthy,19477392.0
Japan,contaminated,29234677.0
Japan,dead,57274.0
Japan,healthy,123837148.0
Canada,contaminated,4505142.0
Canada,dead,49238.0
Canada,healthy,38355852.0
Hungary,contaminated,2185816.0
Hungary,dead,48495.0
Hungary,healthy,9870314.0
Vietnam,contaminated,11525231.0
Vietnam,dead,43186.0
Vietnam,healthy,98100484.0
Czechia,contaminated,4579875.0
Czechia,dead,42131.0
Czechia,healthy,10409728.0
Bulgaria,contaminated,1292104.0
Bulgaria,dead,38108.0
Bulgaria,healthy,6705739.0
Malaysia,contaminated,5026677.0
Malaysia,dead,36853.0
Malaysia,healthy,33864510.0
Ecuador,contaminated,1040463.0
Ecuador,dead,35940.0
Ecuador,healthy,17929122.0
Greece,contaminated,5548487.0
Greece,dead,34779.0
Greece,healthy,10315414.0
Thailand,contaminated,4721808.0
Thailand,dead,33594.0
Thailand,healthy,71629836.0
Belgium,contaminated,4668248.0
Belgium,dead,33228.0
Belgium,healthy,11589467.0
South Korea,contaminated,29116800.0
South Korea,dead,32219.0
South Korea,healthy,51751370.0
Pakistan,contaminated,1575772.0
Pakistan,dead,30636.0
Pakistan,healthy,235763592.0
Bangladesh,contaminated,2037125.0
Bangladesh,dead,29440.0
Bangladesh,healthy,171127488.0
Tunisia,contaminated,1147571.0
Tunisia,dead,29284.0
Tunisia,healthy,12297548.0
Portugal,contaminated,5554058.0
Portugal,dead,25714.0
Portugal,healthy,10219429.0
Iraq,contaminated,2465107.0
Iraq,dead,25373.0
Iraq,healthy,44445378.0
Egypt,contaminated,515645.0
Egypt,dead,24801.0
Egypt,healthy,110940494.0
Netherlands,contaminated,8580083.0
Netherlands,dead,23079.0
Netherlands,healthy,17517862.0
Bolivia,contaminated,1161018.0
Bolivia,dead,22299.0
Bolivia,healthy,12179516.0
Sweden,contaminated,2674862.0
Sweden,dead,21827.0
Sweden,healthy,10505695.0
Austria,contaminated,5705093.0
Austria,dead,21443.0
Austria,healthy,8896731.0
Slovakia,contaminated,2657292.0
Slovakia,dead,20823.0
Slovakia,healthy,5601809.0
Guatemala,contaminated,1204132.0
Guatemala,dead,20001.0
Guatemala,healthy,17803912.0
Paraguay,contaminated,792215.0
Paraguay,dead,19688.0
Paraguay,healthy,6741369.0
Myanmar,contaminated,633683.0
Myanmar,dead,19490.0
Myanmar,healthy,54140332.0
Kazakhstan,contaminated,1488306.0
Kazakhstan,dead,19057.0
Kazakhstan,healthy,19359884.0
Croatia,contaminated,1263901.0
Croatia,dead,17596.0
Croatia,healthy,3995169.0
Serbia,contaminated,2446253.0
Serbia,dead,17519.0
Serbia,healthy,6836509.0
Australia,contaminated,11131707.0
Australia,dead,17052.0
Australia,healthy,26143306.0
Georgia,contaminated,1808820.0
Georgia,dead,16897.0
Georgia,healthy,3710591.0
Sri Lanka,contaminated,671891.0
Sri Lanka,dead,16817.0
Sri Lanka,healthy,21798516.0
Morocco,contaminated,1271595.0
Morocco,dead,16294.0
Morocco,healthy,37425388.0
Bosnia and Herzegovina,contaminated,400992.0
Bosnia and Herzegovina,dead,16227.0
Bosnia and Herzegovina,healthy,3201076.0
Taiwan,contaminated,8847360.0
Taiwan,dead,15253.0
Taiwan,healthy,23862890.0
Switzerland,contaminated,4399516.0
Switzerland,dead,14173.0
