Country Name,Country Code,2019,2020,2021
Aruba,ABW,3368970253,2610038938,3126019399
Africa Eastern and Southern,AFE,1.00102E+12,9.27484E+11,1.08071E+12
Afghanistan,AFG,18904490263,20143442151,14786861638
Africa Western and Central,AFW,7.94719E+11,7.848E+11,8.40187E+11
Angola,AGO,69309110146,53619073505,67404287260
Albania,ALB,15401830754,15131866271,18255787479
Andorra,AND,3155065488,2891022273,3330281524
Arab World,ARB,2.8185E+12,2.49081E+12,2.86072E+12
United Arab Emirates,ARE,4.1799E+11,3.49473E+11,4.15022E+11
Argentina,ARG,4.47755E+11,3.8554E+11,4.87227E+11
Armenia,ARM,13619291361,12641697523,13861409969
American Samoa,ASM,647000000,716000000,709000000
Antigua and Barbuda,ATG,1687533333,1370281481,1471125926
Australia,AUS,1.39223E+12,1.3269E+12,1.55267E+12
Austria,AUT,4.44621E+11,4.35225E+11,4.80368E+11
Azerbaijan,AZE,48174235294,42693000000,54622176471
Burundi,BDI,2576518846,2649671999,2779813489
Belgium,BEL,5.35831E+11,5.25212E+11,5.94104E+11
Benin,BEN,14391686309,15651545209,17144918952
Burkina Faso,BFA,16178162030,17933606353,19737615114
Bangladesh,BGD,3.51238E+11,3.73902E+11,4.16265E+11
Bulgaria,BGR,68915875215,70240275010,84056312734
Bahrain,BHR,38653318085,34723357447,38868663032
"Bahamas, The",BHS,13192800000,9699500000,11208600000
Bosnia and Herzegovina,BIH,20202479538,19950471171,23365361635
Belarus,BLR,64409647194,61371126414,68205380707
Belize,BLZ,2416500000,2080000000,2491500000
Bermuda,BMU,7423465000,6887147000,7286607000
Bolivia,BOL,40895322844,36629843805,40408208528
Brazil,BRA,1.87327E+12,1.44856E+12,1.60898E+12
Barbados,BRB,5324250000,4671800000,4843800000
Brunei Darussalam,BRN,13469422959,12005825759,14006569576
Bhutan,BTN,2535657069,2325184481,2539552985
Botswana,BWA,16695928793,14930072459,17614791266
Central African Republic,CAF,2221301401,2326720921,2516498299
Canada,CAN,1.74202E+12,1.64542E+12,1.98834E+12
Central Europe and the Baltics,CEB,1.67508E+12,1.6649E+12,1.90194E+12
Switzerland,CHE,7.21369E+11,7.39914E+11,8.0064E+11
Channel Islands,CHI,,,
Chile,CHL,2.78585E+11,2.52727E+11,3.17059E+11
China,CHN,1.42799E+13,1.46877E+13,1.77341E+13
Cote d'Ivoire,CIV,58539424930,61348579465,70043191477
Cameroon,CMR,39670977333,40773241531,45338283345
"Congo, Dem. Rep.",COD,51775830726,48716960860,55350968593
"Congo, Rep.",COG,12750339023,10483151176,13366230220
Colombia,COL,3.2311E+11,2.703E+11,3.14464E+11
Comoros,COM,1195019559,1225039231,1296089633
Cabo Verde,CPV,1981845741,1703698677,1936174043
Costa Rica,CRI,64417670083,62158002233,64282438667
Caribbean small states,CSS,77428424854,65896805290,75295300457
