,continent,location,total_cases,population_density,total_deaths_per_million
0,Africa,Algeria,271292.0,17.348,153.241
1,Africa,Angola,105095.0,23.89,54.23
2,Africa,Benin,27989.0,99.11,12.207
3,Africa,Botswana,328760.0,4.044,1093.411
4,Africa,Burkina Faso,22025.0,70.151,17.465
5,Africa,Burundi,52380.0,423.062,2.948
6,Africa,Cameroon,123993.0,50.885,70.393
7,Africa,Cape Verde,63222.0,135.58,694.583
8,Africa,Central African Republic,15361.0,7.479,20.254
9,Africa,Chad,7651.0,11.833,10.946
10,Africa,Comoros,8992.0,437.352,192.404
11,Africa,Republic of Congo,25375.0,15.405,64.652
12,Africa,Ivory Coast,87963.0,76.399,29.58
13,Africa,Democratic Republic of the Congo,95346.0,35.879,14.776
14,Africa,Djibouti,15690.0,41.285,168.622
15,Africa,Egypt,515645.0,97.999,223.488
16,Africa,Equatorial Guinea,17186.0,45.194,109.259
17,Africa,Eritrea,10189.0,44.304,27.958
18,Africa,Swaziland,74086.0,79.492,1183.343
19,Africa,Ethiopia,499200.0,104.957,61.371
20,Africa,Gabon,48980.0,7.859,128.087
21,Africa,Gambia,12586.0,207.566,137.473
22,Africa,Ghana,171099.0,126.719,43.673
23,Africa,Guinea,38224.0,51.755,33.696
24,Africa,Guinea Bissau,8947.0,66.191,83.587
25,Africa,Kenya,342727.0,87.324,105.28
26,Africa,Lesotho,34790.0,73.562,313.554
27,Africa,Liberia,8043.0,49.127,55.444
28,Africa,Libya,507158.0,3.623,944.902
29,Africa,Madagascar,67788.0,43.951,47.886
30,Africa,Malawi,88446.0,197.519,141.924
31,Africa,Mali,32772.0,15.196,32.885
32,Africa,Mauritania,63664.0,4.289,210.509
33,Africa,Mauritius,293386.0,622.962,801.86
34,Africa,Morocco,1272090.0,80.08,435.048
35,Africa,Mozambique,231404.0,37.728,67.699
36,Africa,Namibia,170496.0,3.078,1590.558
37,Africa,Niger,9506.0,16.955,12.019
38,Africa,Nigeria,266463.0,209.588,14.437
39,Africa,Rwanda,133078.0,494.869,106.557
41,Africa,Sao Tome and Principe,6279.0,212.841,338.621
42,Africa,Senegal,88900.0,82.328,114.804
43,Africa,Seychelles,50355.0,208.354,1605.451
