,continent,location,weekly_hosp_admissions_per_million,median_age,aged_65_older,aged_70_older,life_expectancy
46,Africa,South Africa,303.604,27.3,5.344,3.053,64.13
71,Asia,Israel,393.057,30.6,11.733,7.359,82.97
80,Asia,Malaysia,488.004,29.9,6.293,3.407,76.16
93,Asia,Singapore,51.8,42.4,12.922,7.049,83.62
94,Asia,South Korea,260.461,43.4,13.914,8.622,83.03
111,Europe,Belgium,428.194,41.8,18.571,12.849,81.63
113,Europe,Bulgaria,10536.325,44.7,20.801,13.272,75.05
114,Europe,Croatia,578.244,44.0,19.724,13.053,78.49
116,Europe,Czechia,703.736,43.3,19.027,11.58,79.38
117,Europe,Denmark,494.708,42.3,19.677,12.325,80.9
119,Europe,Estonia,468.397,42.7,19.452,13.491,78.74
122,Europe,France,369.324,42.0,19.718,13.079,82.66
123,Europe,Germany,225.717,46.6,21.453,15.957,81.33
125,Europe,Greece,373.924,45.3,20.396,14.524,82.24
128,Europe,Iceland,219.636,37.3,14.431,9.207,82.99
129,Europe,Ireland,127.838,38.7,13.928,8.678,82.3
131,Europe,Italy,311.734,47.9,23.021,16.24,83.51
134,Europe,Latvia,637.537,43.9,19.754,14.136,75.29
137,Europe,Luxembourg,283.585,39.7,14.312,9.842,82.25
138,Europe,Malta,240.264,42.4,19.426,11.324,82.53
142,Europe,Netherlands,124.345,43.2,18.779,11.881,82.28
145,Europe,Norway,103.313,39.7,16.821,10.813,82.4
149,Europe,Russia,52.614,39.6,14.178,9.393,72.58
153,Europe,Slovakia,254.589,41.2,15.07,9.167,77.54
154,Europe,Slovenia,430.066,44.5,19.062,12.93,81.32
155,Europe,Spain,476.654,45.5,19.436,13.799,83.56
157,Europe,Switzerland,199.875,43.1,18.436,12.644,83.78
159,Europe,United Kingdom,439.186,40.8,18.517,12.527,81.32
197,North America,United States,455.163,38.3,15.413,9.732,78.86
225,South America,Chile,228.834,35.4,11.087,6.938,80.18
