,continent,date,new_cases
0,Africa,2020-02-07,0.0
1,Africa,2020-02-08,0.0
2,Africa,2020-02-09,0.0
3,Africa,2020-02-10,0.0
4,Africa,2020-02-11,0.0
5,Africa,2020-02-12,0.0
6,Africa,2020-02-13,0.0
7,Africa,2020-02-14,1.0
8,Africa,2020-02-15,0.0
9,Africa,2020-02-16,0.0
10,Africa,2020-02-17,0.0
11,Africa,2020-02-18,0.0
12,Africa,2020-02-19,0.0
13,Africa,2020-02-20,0.0
14,Africa,2020-02-21,0.0
15,Africa,2020-02-22,0.0
16,Africa,2020-02-23,0.0
17,Africa,2020-02-24,0.0
18,Africa,2020-02-25,1.0
19,Africa,2020-02-26,0.0
20,Africa,2020-02-27,0.0
21,Africa,2020-02-28,1.0
22,Africa,2020-02-29,0.0
23,Africa,2020-03-01,1.0
24,Africa,2020-03-02,4.0
25,Africa,2020-03-03,3.0
26,Africa,2020-03-04,10.0
27,Africa,2020-03-05,3.0
28,Africa,2020-03-06,19.0
29,Africa,2020-03-07,0.0
30,Africa,2020-03-08,40.0
31,Africa,2020-03-09,8.0
32,Africa,2020-03-10,13.0
33,Africa,2020-03-11,14.0
34,Africa,2020-03-12,16.0
35,Africa,2020-03-13,42.0
36,Africa,2020-03-14,76.0
37,Africa,2020-03-15,65.0
38,Africa,2020-03-16,87.0
39,Africa,2020-03-17,88.0
40,Africa,2020-03-18,118.0
41,Africa,2020-03-19,178.0
42,Africa,2020-03-20,182.0
43,Africa,2020-03-21,206.0
44,Africa,2020-03-22,253.0
45,Africa,2020-03-23,383.0
46,Africa,2020-03-24,438.0
47,Africa,2020-03-25,523.0
48,Africa,2020-03-26,526.0
49,Africa,2020-03-27,580.0
50,Africa,2020-03-28,343.0
51,Africa,2020-03-29,564.0
52,Africa,2020-03-30,395.0
53,Africa,2020-03-31,586.0
54,Africa,2020-04-01,599.0
55,Africa,2020-04-02,656.0
56,Africa,2020-04-03,881.0
57,Africa,2020-04-04,682.0
58,Africa,2020-04-05,685.0
59,Africa,2020-04-06,716.0
60,Africa,2020-04-07,628.0
61,Africa,2020-04-08,806.0
62,Africa,2020-04-09,793.0
63,Africa,2020-04-10,694.0
64,Africa,2020-04-11,714.0
65,Africa,2020-04-12,869.0
66,Africa,2020-04-13,772.0
67,Africa,2020-04-14,971.0
68,Africa,2020-04-15,965.0
69,Africa,2020-04-16,1168.0
70,Africa,2020-04-17,1403.0
71,Africa,2020-04-18,1309.0
72,Africa,2020-04-19,1197.0
73,Africa,2020-04-20,1163.0
74,Africa,2020-04-21,1076.0
75,Africa,2020-04-22,1403.0
76,Africa,2020-04-23,1437.0
77,Africa,2020-04-24,1705.0
78,Africa,2020-04-25,1244.0
79,Africa,2020-04-26,1532.0
80,Africa,2020-04-27,1337.0
81,Africa,2020-04-28,1619.0
82,Africa,2020-04-29,2023.0
83,Africa,2020-04-30,1946.0
84,Africa,2020-05-01,1715.0
85,Africa,2020-05-02,2243.0
86,Africa,2020-05-03,1592.0
87,Africa,2020-05-04,2654.0
88,Africa,2020-05-05,2042.0
89,Africa,2020-05-06,2542.0
90,Africa,2020-05-07,2487.0
91,Africa,2020-05-08,3625.0
92,Africa,2020-05-09,2860.0
93,Africa,2020-05-10,2579.0
94,Africa,2020-05-11,3066.0
95,Africa,2020-05-12,3167.0
96,Africa,2020-05-13,2914.0
97,Africa,2020-05-14,3118.0
98,Africa,2020-05-15,2926.0
99,Africa,2020-05-16,3003.0
100,Africa,2020-05-17,3314.0
101,Africa,2020-05-18,3668.0
102,Africa,2020-05-19,3220.0
103,Africa,2020-05-20,3791.0
104,Africa,2020-05-21,4799.0
105,Africa,2020-05-22,3868.0
106,Africa,2020-05-23,3865.0
107,Africa,2020-05-24,4120.0
108,Africa,2020-05-25,4128.0
109,Africa,2020-05-26,3711.0
110,Africa,2020-05-27,5080.0
111,Africa,2020-05-28,4916.0
112,Africa,2020-05-29,5746.0
113,Africa,2020-05-30,6118.0
114,Africa,2020-05-31,5247.0
115,Africa,2020-06-01,5785.0
