,location,date,new_cases
0,World,2020-01-22,0.0
1,World,2020-01-23,100.0
2,World,2020-01-24,287.0
3,World,2020-01-25,493.0
4,World,2020-01-26,683.0
5,World,2020-01-27,809.0
6,World,2020-01-28,2651.0
7,World,2020-01-29,589.0
8,World,2020-01-30,2068.0
9,World,2020-01-31,1690.0
10,World,2020-02-01,2111.0
11,World,2020-02-02,4749.0
12,World,2020-02-03,3100.0
13,World,2020-02-04,4012.0
14,World,2020-02-05,3745.0
15,World,2020-02-06,3162.0
16,World,2020-02-07,3594.0
17,World,2020-02-08,2731.0
18,World,2020-02-09,3031.0
19,World,2020-02-10,2609.0
20,World,2020-02-11,2043.0
21,World,2020-02-12,418.0
22,World,2020-02-13,15152.0
23,World,2020-02-14,6528.0
24,World,2020-02-15,2143.0
25,World,2020-02-16,2183.0
26,World,2020-02-17,2035.0
27,World,2020-02-18,1882.0
28,World,2020-02-19,500.0
29,World,2020-02-20,561.0
30,World,2020-02-21,630.0
31,World,2020-02-22,1762.0
32,World,2020-02-23,382.0
33,World,2020-02-24,568.0
34,World,2020-02-25,854.0
35,World,2020-02-26,973.0
36,World,2020-02-27,1344.0
37,World,2020-02-28,1424.0
38,World,2020-02-29,1871.0
39,World,2020-03-01,2379.0
40,World,2020-03-02,1980.0
41,World,2020-03-03,2612.0
42,World,2020-03-04,2344.0
43,World,2020-03-05,2740.0
44,World,2020-03-06,3984.0
45,World,2020-03-07,4137.0
46,World,2020-03-08,3798.0
47,World,2020-03-09,4295.0
48,World,2020-03-10,4759.0
49,World,2020-03-11,7504.0
50,World,2020-03-12,6756.0
51,World,2020-03-13,13194.0
52,World,2020-03-14,10888.0
53,World,2020-03-15,11233.0
54,World,2020-03-16,14567.0
55,World,2020-03-17,15174.0
56,World,2020-03-18,17560.0
57,World,2020-03-19,27087.0
58,World,2020-03-20,29532.0
59,World,2020-03-21,32433.0
60,World,2020-03-22,34178.0
61,World,2020-03-23,42551.0
62,World,2020-03-24,41888.0
63,World,2020-03-25,51480.0
64,World,2020-03-26,60810.0
65,World,2020-03-27,63913.0
66,World,2020-03-28,69564.0
67,World,2020-03-29,56503.0
68,World,2020-03-30,65003.0
69,World,2020-03-31,78439.0
70,World,2020-04-01,86323.0
71,World,2020-04-02,82414.0
72,World,2020-04-03,84194.0
73,World,2020-04-04,77156.0
74,World,2020-04-05,71696.0
75,World,2020-04-06,74670.0
76,World,2020-04-07,72426.0
77,World,2020-04-08,82153.0
78,World,2020-04-09,87161.0
79,World,2020-04-10,86421.0
80,World,2020-04-11,75484.0
81,World,2020-04-12,118581.0
82,World,2020-04-13,71824.0
83,World,2020-04-14,84603.0
84,World,2020-04-15,78259.0
85,World,2020-04-16,94454.0
86,World,2020-04-17,87863.0
87,World,2020-04-18,78220.0
88,World,2020-04-19,76315.0
89,World,2020-04-20,76481.0
90,World,2020-04-21,76077.0
91,World,2020-04-22,82014.0
92,World,2020-04-23,84390.0
93,World,2020-04-24,93602.0
94,World,2020-04-25,83149.0
95,World,2020-04-26,70762.0
96,World,2020-04-27,71026.0
97,World,2020-04-28,75753.0
98,World,2020-04-29,78771.0
99,World,2020-04-30,83699.0
100,World,2020-05-01,88964.0
101,World,2020-05-02,78390.0
102,World,2020-05-03,74022.0
103,World,2020-05-04,77611.0
104,World,2020-05-05,79655.0
105,World,2020-05-06,90438.0
106,World,2020-05-07,90136.0
107,World,2020-05-08,91893.0
108,World,2020-05-09,84241.0
109,World,2020-05-10,75213.0
110,World,2020-05-11,76234.0
111,World,2020-05-12,85403.0
112,World,2020-05-13,84416.0
113,World,2020-05-14,95643.0
114,World,2020-05-15,96330.0
115,World,2020-05-16,93907.0
116,World,2020-05-17,78347.0
117,World,2020-05-18,89139.0
118,World,2020-05-19,95813.0
119,World,2020-05-20,105421.0
120,World,2020-05-21,106058.0
121,World,2020-05-22,107248.0
122,World,2020-05-23,104107.0
123,World,2020-05-24,93646.0
124,World,2020-05-25,88583.0
125,World,2020-05-26,92358.0
126,World,2020-05-27,102551.0
127,World,2020-05-28,119993.0
128,World,2020-05-29,121475.0
129,World,2020-05-30,135040.0
130,World,2020-05-31,102859.0
131,World,2020-06-01,100280.0
